E	Z	I	a1	a2	a3	a4	b1	b2	b3	b4	c
H	1	0	0.493002	0.322912	0.140191	4.08E-02	10.5109	26.1257	3.14236	57.7997	3.04E-03
H.	1	0	0.489918	0.262003	0.196767	4.99E-02	20.6593	7.74039	49.5519	2.20159	1.31E-03
H	1	-1	0.897661	0.565616	0.415815	0.116973	53.1368	15.187	186.576	3.56709	2.39E-03
He	2	0	0.8734	0.6309	0.3112	0.178	9.1037	3.3568	22.9276	0.9821	6.40E-03
Li	3	0	1.1282	0.7508	0.6175	0.4653	3.9546	1.0524	85.3905	168.261	3.77E-02
Li	3	1	0.6968	0.7888	0.3414	0.1563	4.6237	1.9557	0.6316	10.0953	1.67E-02
Be	4	0	1.5919	1.1278	0.5391	0.7029	43.6427	1.8623	103.483	0.542	3.85E-02
Be	4	2	6.2603	0.8849	0.7993	0.1647	2.70E-03	0.8313	2.2758	5.1146	-6.1092
B	5	0	2.0545	1.3326	1.0979	0.7068	23.2185	1.021	60.3498	0.1403	-0.1932
C	6	0	2.31	1.02	1.5886	0.865	20.8439	10.2075	0.5687	51.6512	0.2156
C	6	0	2.26069	1.56165	1.05075	0.839259	22.6907	0.656665	9.75618	55.5949	0.286977
N	7	0	12.2126	3.1322	2.0125	1.1663	5.70E-03	9.8933	28.9975	0.5826	-11.529
O	8	0	3.0485	2.2868	1.5463	0.867	13.2771	5.7011	0.3239	32.9089	0.2508
O	8	-1	4.1916	1.63969	1.52673	-20.307	12.8573	4.17236	47.0179	-1.40E-02	21.9412
O	8	-2	4.758	3.637	0	0	7.831	30.05	0	0	1.594
F	9	0	3.5392	2.6412	1.517	1.0243	10.2825	4.2944	0.2615	26.1476	0.2776
F	9	-1	3.6322	3.51057	1.26064	0.940706	5.27756	14.7353	0.442258	47.3437	0.653396
Ne	10	0	3.9553	3.1125	1.4546	1.1251	8.4042	3.4262	0.2306	21.7184	0.3515
Na	11	0	4.7626	3.1736	1.2674	1.1128	3.285	8.8422	0.3136	129.424	0.676
Na	11	1	3.2565	3.9362	1.3998	1.0032	2.6671	6.1153	0.2001	14.039	0.404
Mg	12	0	5.4204	2.1735	1.2269	2.3073	2.8275	79.2611	0.3808	7.1937	0.8584
Mg	12	2	3.4988	3.8378	1.3284	0.8497	2.1676	4.7542	0.185	10.1411	0.4853
Al	13	0	6.4202	1.9002	1.5936	1.9646	3.0387	0.7426	31.5472	85.0886	1.1151
Al	13	3	4.17448	3.3876	1.20296	0.528137	1.93816	4.14553	0.228753	8.28524	0.706786
Si	14	0	6.2915	3.0353	1.9891	1.541	2.4386	32.3337	0.6785	81.6937	1.1407
Si	14	99	5.66269	3.07164	2.62446	1.3932	2.6652	38.6634	0.916946	93.5458	1.24707
Si	14	4	4.43918	3.20345	1.19453	0.41653	1.64167	3.43757	0.2149	6.65365	0.746297
P	15	0	6.4345	4.1791	1.78	1.4908	1.9067	27.157	0.526	68.1645	1.1149
S	16	0	6.9053	5.2034	1.4379	1.5863	1.4679	22.2151	0.2536	56.172	0.8669
Cl	17	0	11.4604	7.1964	6.2556	1.6455	1.04E-02	1.1662	18.5194	47.7784	-9.5574
Cl	17	-1	18.2915	7.2084	6.5337	2.3386	6.60E-03	1.1717	19.5424	60.4486	-16.378
Ar	18	0	7.4845	6.7723	0.6539	1.6442	0.9072	14.8407	43.8983	33.3929	1.4445
K	19	0	8.2186	7.4398	1.0519	0.8659	12.7949	0.7748	213.187	41.6841	1.4228
K	19	1	7.9578	7.4917	6.359	1.1915	12.6331	0.7674	-2.00E-03	31.9128	-4.9978
Ca	20	0	8.6266	7.3873	1.5899	1.0211	10.4421	0.6599	85.7484	178.437	1.3751
Ca	20	2	15.6348	7.9518	8.4372	0.8537	-7.40E-03	0.6089	10.3116	25.9905	-14.875
Sc	21	0	9.189	7.3679	1.6409	1.468	9.0213	0.5729	136.108	51.3531	1.3329
Sc	21	3	13.4008	8.0273	1.65943	1.57936	0.29854	7.9629	-0.28604	16.0662	-6.6667
Ti	22	0	9.7595	7.3558	1.6991	1.9021	7.8508	0.5	35.6338	116.105	1.2807
Ti	22	2	9.11423	7.62174	2.2793	8.79E-02	7.5243	0.457585	19.5361	61.6558	0.897155
Ti	22	3	17.7344	8.73816	5.25691	1.92134	0.22061	7.04716	-0.15762	15.9768	-14.652
Ti	22	4	19.5114	8.23473	2.01341	1.5208	0.178847	6.67018	-0.29263	12.9464	-13.28
V	23	0	10.2971	7.3511	2.0703	2.0571	6.8657	0.4385	26.8938	102.478	1.2199
V	23	2	10.106	7.3541	2.2884	2.23E-02	6.8818	0.4409	20.3004	115.122	1.2298
V	23	3	9.43141	7.7419	2.15343	1.69E-02	6.39535	0.383349	15.1908	63.969	0.656565
V	23	5	15.6887	8.14208	2.03081	-9.576	0.679003	5.40135	9.97278	0.940464	1.7143
Cr	24	0	10.6406	7.3537	3.324	1.4922	6.1038	0.392	20.2626	98.7399	1.1832
Cr	24	2	9.54034	7.7509	3.58274	0.509107	5.66078	0.344261	13.3075	32.4224	0.616898
Cr	24	3	9.6809	7.81136	2.87603	0.113575	5.59463	0.334393	12.8288	32.8761	0.518275
Mn	25	0	11.2819	7.3573	3.0193	2.2441	5.3409	0.3432	17.8674	83.7543	1.0896
Mn	25	2	10.8061	7.362	3.5268	0.2184	5.2796	0.3435	14.343	41.3235	1.0874
Mn	25	3	9.84521	7.87194	3.56531	0.323613	4.91797	0.294393	10.8171	24.1281	0.393974
Mn	25	4	9.96253	7.97057	2.76067	5.44E-02	4.8485	0.283303	10.4852	27.573	0.251877
Fe	26	0	11.7695	7.3573	3.5222	2.3045	4.7611	0.3072	15.3535	76.8805	1.0369
Fe	26	2	11.0424	7.374	4.1346	0.4399	4.6538	0.3053	12.0546	31.2809	1.0097
Fe	26	3	11.1764	7.3863	3.3948	7.24E-02	4.6147	0.3005	11.6729	38.5566	0.9707
